label_height,33
label_width,55
AbangoHub_ABG,D5
AbangoHub_ABG,D5
AbhanpurMDH_ABN,D5
AbhanpurMDH_ABN,D5
AboharHub_ABH,X2
AdalajODH_ADL,D5
AdalajODH_ADL,D5
AdampurHub_ADA,D2
AdampurHub_ADA,D2
AdampurHub_JLR,X2
AdarshnagarHub_AJM,X3
AdarshNagarHub_DEL,C4
AdarshNagarMPHub_DEL,D3
AdarshNagarMPHub_DEL,D3
AdaspurMDH_ADP,D5
AdaspurMDH_ADP,D5
ADENBastiODH_BST,D2
ADENBastiODH_BST,D2
ADENKheriODH_KER,D2
ADENKheriODH_KER,D2
ADENPhillaurMDH_PHL,X2
ADENSmanaODH_SMN,X2
AdilabadHub_ADB,N8
AdimalyHub_ADL,N4
AdityapurHub_IXW,D5
AdityapurHub_IXW,D5
AdoniHub_ADN,N8
AdoorHUB_ADR,N4
AdraHub_ADR,D5
AdraHub_ADR,D5
AdraSplitHub_ADR,D5
AdraSplitHub_ADR,D5
AeroCityMohaliHub_IXC,X2
AfeemkothiHub_KNU,X1
AfzalgarhHub_BNR,D2
AfzalgarhHub_BNR,D2
AfzalpurHub_AFZ,N8
AganampudiHub_VTZ,N7
AgartalaCityODH_IXA,D5
AgartalaCityODH_IXA,D5
AgiaonMDH_JHD,D5
AgiaonMDH_JHD,D5
AgnoorHub_AGN,N8
AgraHub_AGR,D2
AgraHub_AGR,D2
AgraMPHub_AGR,D2
AgraMPHub_AGR,D2
AharaulaMDH_AHR,D2
AharaulaMDH_AHR,D2
AhiyachakMDH_AHY,D5
AhiyachakMDH_AHY,D5
AhknoorRoad_IXJ,X2
AhmadpurHub_AHM,N8
Ahmedabad_01,D5
Ahmedabad_01,D5
AhmedabadMPHub_MYNTRAHub_AMD,D5
AhmedabadMPHub_MYNTRAHub_AMD,D5
AhmedabadVPHExt_MPHub,D5
AhmedabadVPHExt_MPHub,D5
AhmedNagarHub_AHN,D5
AhmedNagarHub_AHN,D5
AIIMSHub_DEL,B21
AiroliHub_MUM,D5
AiroliHub_MUM,D5
AirportblrHub_BLR,N1
AirportrdHub_HSS,D2
AirportrdHub_HSS,D2
AizaHub_AZA,N8
AizawlHub_AJL,D5
AizawlHub_AJL,D5
AIZAWLODH_TEMP,D5
AIZAWLODH_TEMP,D5
AjharaMDH_AJH,D2
AjharaMDH_AJH,D2
AjmerHub_AJM,X3
AjmerMPHub_AJM,D7
AjnalaMDH_AJN,X2
AjwaHub_BDQ,D5
AjwaHub_BDQ,D5
AkolaHub_AKD,D5
AkolaHub_AKD,D5
AkotaHub_BDQ,D5
AkotaHub_BDQ,D5
AkotaMDH_AKT,D5
AkotaMDH_AKT,D5
AKWAMDH_LAX,X3
AlandiHub_PUNE,D5
AlandiHub_PUNE,D5
AlanganathamHub_AGM,N3
AlapurMDH_ALA,X1
AlgarahMDH_ALG,D5
AlgarahMDH_ALG,D5
AlibagHub_ABG,D5
AlibagHub_ABG,D5
AliganjHub_LKO,X1
AliganjMPHub_LKO,D7
AligarhHub_ALG,D2
AligarhHub_ALG,D2
AligarhMPHub_ALG,D2
AligarhMPHub_ALG,D2
AlipurduarHub_ADP,D5
AlipurduarHub_ADP,D5
AlipurHub_DEL,C18
AlipurMPHub_DEL,D3
AlipurMPHub_DEL,D3
Alite_Motherhub_AHM_EMA,D5
Alite_Motherhub_AHM_EMA,D5
Alite_Motherhub_AHM_VAG,D5
Alite_Motherhub_AHM_VAG,D5
Alite_Motherhub_BIL_ABL,D4
Alite_Motherhub_BIL_ABL,D4
Alite_Motherhub_BOM_BAN,D5
